Year,City,Province,Registered_Voters,Votes_Cast,Turnout_Percent,High_Turnout
1990,Hyderabad,Sindh,941522.0,334216.0,35.49741801041293,0
1990,Islamabad,Punjab,189972.0,56795.0,29.896511064788495,0
1990,Jacobabad,Sindh,569512.0,134761.0,23.662539156330332,0
1990,Jaffarabad,Balochistan,227619.0,24131.0,10.601487573532966,0
1990,Jhang,Punjab,1110652.0,282407.0,25.427136492798823,0
1990,Jhelum,Punjab,428338.0,115983.0,27.077448183443913,0
1990,Kachhi,Balochistan,223756.0,42586.0,19.032338797618834,0
1990,Kalat,Balochistan,250652.0,18647.0,7.439398049885898,0
1990,Karachi City,Sindh,3177403.0,1009740.0,31.77878286134935,0
1990,Karak,KPK,163217.0,27866.0,17.07297646691215,0
1990,Kasur,Punjab,871885.0,198295.0,22.743251690303193,0
1990,Kech,Balochistan,184111.0,26166.0,14.212078583028717,0
1990,Khairpur,Sindh,570759.0,153438.0,26.883150331400817,0
1990,Khanewal,Punjab,743093.0,198522.0,26.715633171083564,0
1990,Khushab,Punjab,248271.0,61854.0,24.91390456396438,0
1990,Khuzdar,Balochistan,173834.0,21294.0,12.24961745113154,0
